[2018-10-10 16:15:04:0714] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-10-10 16:16:24:0849] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:16:59:0148] | CInterfaceManager.cpp-L4481: CamCtrl[2020004], GigE SDKVersion(1040004), DriverVersion(1040004)
[2018-11-02 13:16:59:0512] | CInterfaceManager.cpp-L1065: remalloc RecvBuf succeed, [26216448]
[2018-11-02 13:16:59:0540] | CInterfaceManager.cpp-L4168: Camctrl RecvThread Start, ThreadId[13892]
[2018-11-02 13:16:59:0540] | CInterfaceManager.cpp-L3998: Camctrl DisplayThread Start, ThreadId[16672]
[2018-11-02 13:16:59:0549] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:17:59:0130] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:17:59:0144] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:18:10:0571] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:18:58:0688] | CInterfaceManager.cpp-L4481: CamCtrl[2020004], GigE SDKVersion(1040004), DriverVersion(1040004)
[2018-11-02 13:19:36:0427] | CInterfaceManager.cpp-L4481: CamCtrl[2020004], GigE SDKVersion(1040004), DriverVersion(1040004)
[2018-11-02 13:19:36:0803] | CInterfaceManager.cpp-L1065: remalloc RecvBuf succeed, [26216448]
[2018-11-02 13:19:36:0831] | CInterfaceManager.cpp-L4168: Camctrl RecvThread Start, ThreadId[15932]
[2018-11-02 13:19:36:0831] | CInterfaceManager.cpp-L3998: Camctrl DisplayThread Start, ThreadId[13476]
[2018-11-02 13:25:48:0066] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:25:48:0085] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:28:54:0548] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:28:55:0234] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:28:56:0009] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:28:56:0696] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:28:57:0431] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:28:58:0129] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:28:58:0883] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:28:59:0549] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:29:00:0299] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:29:00:0964] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:35:01:0852] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:36:36:0985] | CInterfaceManager.cpp-L4481: CamCtrl[2020004], GigE SDKVersion(1040004), DriverVersion(1040004)
[2018-11-02 13:36:37:0353] | CInterfaceManager.cpp-L1065: remalloc RecvBuf succeed, [26216448]
[2018-11-02 13:36:37:0382] | CInterfaceManager.cpp-L4168: Camctrl RecvThread Start, ThreadId[14944]
[2018-11-02 13:36:37:0382] | CInterfaceManager.cpp-L3998: Camctrl DisplayThread Start, ThreadId[15268]
[2018-11-02 13:36:37:0391] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:42:25:0398] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:42:25:0411] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:42:38:0153] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:43:54:0136] | CInterfaceManager.cpp-L4481: CamCtrl[2020004], GigE SDKVersion(1040004), DriverVersion(1040004)
[2018-11-02 13:43:54:0503] | CInterfaceManager.cpp-L1065: remalloc RecvBuf succeed, [26216448]
[2018-11-02 13:43:54:0531] | CInterfaceManager.cpp-L4168: Camctrl RecvThread Start, ThreadId[17708]
[2018-11-02 13:43:54:0531] | CInterfaceManager.cpp-L3998: Camctrl DisplayThread Start, ThreadId[17532]
[2018-11-02 13:43:54:0540] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:44:40:0118] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:46:42:0945] | CInterfaceManager.cpp-L4481: CamCtrl[2020004], GigE SDKVersion(1040004), DriverVersion(1040004)
[2018-11-02 13:46:43:0310] | CInterfaceManager.cpp-L1065: remalloc RecvBuf succeed, [26216448]
[2018-11-02 13:46:43:0339] | CInterfaceManager.cpp-L4168: Camctrl RecvThread Start, ThreadId[18592]
[2018-11-02 13:46:43:0339] | CInterfaceManager.cpp-L3998: Camctrl DisplayThread Start, ThreadId[18596]
[2018-11-02 13:46:43:0347] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:47:40:0528] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:50:17:0824] | CInterfaceManager.cpp-L4481: CamCtrl[2020004], GigE SDKVersion(1040004), DriverVersion(1040004)
[2018-11-02 13:50:18:0197] | CInterfaceManager.cpp-L1065: remalloc RecvBuf succeed, [26216448]
[2018-11-02 13:50:18:0226] | CInterfaceManager.cpp-L4168: Camctrl RecvThread Start, ThreadId[17828]
[2018-11-02 13:50:18:0226] | CInterfaceManager.cpp-L3998: Camctrl DisplayThread Start, ThreadId[18272]
[2018-11-02 13:50:18:0235] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:51:01:0699] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:51:02:0340] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:52:37:0944] | CInterfaceManager.cpp-L4481: CamCtrl[2020004], GigE SDKVersion(1040004), DriverVersion(1040004)
[2018-11-02 13:53:10:0522] | CInterfaceManager.cpp-L4481: CamCtrl[2020004], GigE SDKVersion(1040004), DriverVersion(1040004)
[2018-11-02 13:53:10:0889] | CInterfaceManager.cpp-L1065: remalloc RecvBuf succeed, [26216448]
[2018-11-02 13:53:10:0919] | CInterfaceManager.cpp-L4168: Camctrl RecvThread Start, ThreadId[16916]
[2018-11-02 13:53:10:0919] | CInterfaceManager.cpp-L3998: Camctrl DisplayThread Start, ThreadId[19440]
[2018-11-02 13:53:41:0834] | CInterfaceManager.cpp-L1204: getfcnt [0], getfcntsucceed[0], totalRecv[0] 
[2018-11-02 13:53:41:0920] | CInterfaceManager.cpp-L4156: DisplayProcess exit
[2018-11-02 13:53:41:0924] | CInterfaceManager.cpp-L4308: RecvThreadProcess exit
[2018-11-02 13:54:22:0571] | CInterfaceManager.cpp-L4481: CamCtrl[2020004], GigE SDKVersion(1040004), DriverVersion(1040004)
[2018-11-02 13:54:22:0938] | CInterfaceManager.cpp-L1065: remalloc RecvBuf succeed, [26216448]
[2018-11-02 13:54:22:0967] | CInterfaceManager.cpp-L4168: Camctrl RecvThread Start, ThreadId[17528]
[2018-11-02 13:54:22:0967] | CInterfaceManager.cpp-L3998: Camctrl DisplayThread Start, ThreadId[18612]
[2018-11-02 13:54:22:0976] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:56:01:0987] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:56:25:0176] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:56:35:0108] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:56:37:0156] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:56:37:0168] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:56:40:0316] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:57:15:0587] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:57:16:0343] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:57:17:0082] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:57:17:0822] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:57:18:0618] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:57:26:0396] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
